,Company Name,Company Website,Description,Media Spend (M)
386,IGA Inc.,www.igainc.com,grocery stores, $1 - 3 
387,"INVISTA, Inc.",www.invista.com,performance fabrics, $1 - 3 
388,"J.W. Childs Associates, L.P.",www.jwchilds.com,private equity investment firm, $1 - 3 
389,"Joe's Jeans, Inc.",www.joesjeans.com,apparel & accessories, $1 - 3 
391,"Kwik Trip, Inc.",www.kwiktrip.com,gas stations & convenience stores, $1 - 3 
392,"LeSportsac, Inc.",www.lesportsac.com,backpacks & luggage, $1 - 3 
393,"Lil Drug Store Products, Inc.",www.lildrugstore.com,drug wholesaler, $1 - 3 
394,Lund Food Holdings,www.lundsmarket.com,supermarkets, $1 - 3 
395,Mall of America,www.mallofamerica.com,mall, $1 - 3 
396,Marc Glassman,www.marcs.com,"discount stores, pharmaceuticals", $1 - 3 
397,"Marmot Mountain, LLC",www.marmot.com,outdoor recreational equipment, $1 - 3 
398,"Michael Stars, Inc.",www.michaelstars.com,women's apparel & accessories, $1 - 3 
400,"Navarro Discount Pharmacies, Inc.",www.navarro.com,pharmacies, $1 - 3 
402,New York & Company,www.nyandcompany.com,women's clothing stores, $1 - 3 
404,Oscar de la Renta,www.oscardelarenta.com,"clothing, fragrances & accessories", $1 - 3 
408,Paul Frank Industries,www.paulfrank.com,clothing & apparel stores, $1 - 3 
410,"Performance Bike, Inc.",www.performancebike.com,bikes & equipment, $1 - 3 
412,"Piggly Wiggly Carolina Company, Inc.",www.thepig.net,grocery store chain, $1 - 3 
415,"Raley's, Inc. ",www.raleys.com,supermarket chain, $1 - 3 
416,"Reeds Jewelers, Inc.",www.reeds.com,jewelry stores, $1 - 3 
417,"Richemont North America, Inc. ",www.richemont.com/,luxury goods manufacturer, $1 - 3 
418,"Road Runner Sports, Inc.",www.roadrunnersports.com,sporting apparel, $1 - 3 
420,Schnuck Markets Inc.,www.schnucks.com,supermarket chain, $1 - 3 
422,"Scott Kay, Inc.",www.scottkay.com,jewelry, $1 - 3 
423,"Sedano's Supermarkets, Inc.",www.sedanos.com,supermarkets, $1 - 3 
425,"Sierra Trading Post, Inc.",www.sierratradingpost.com,clothing, $1 - 3 
426,"Silpada Designs, Inc.",www.silpada.com,sterling silver jewelry, $1 - 3 
427,"Smart & Final, Inc.",www.smartandfinal.com,warehouse grocery stores, $1 - 3 
428,"Smith Sport Optics, Inc. ",www.smithoptics.com,"goggles, sunglasses & accessories", $1 - 3 
429,SpartanNash Company,www.spartanstores.com,grocery wholesaler & retailer, $1 - 3 
430,Stew Leonard's,www.stewleonards.com,supermarket chain, $1 - 3 
433,"The Children's Place Retail Stores, Inc.",www.childrensplace.com,children's clothing store chain, $1 - 3 
437,Tuesday Morning Corporation,www.tuesdaymorning.com,discount home decor stores, $1 - 3 
440,"Volcom, Inc.",www.volcom.com,surf/skate apparel, $1 - 3 
441,"Von Maur, Inc.",www.vonmaur.com,department stores, $1 - 3 
442,"West Marine, Inc.",www.westmarine.com,boat supplies, $1 - 3 
443,A.T. Cross Company,www.cross.com,writing instruments & eyeglasses, $750k - 1 
445,Alienware Corporation,www.alienware.com,computers, $750k - 1 
447,"Campmor, Inc.",www.campmor.com,outdoor equipment retailer, $750k - 1 
453,Kahala Corporation,www.kahalacorp.com,restaurant franchiser, $750k - 1 
454,"King Kullen Grocery, Inc.",www.kingkullen.com,supermarkets, $750k - 1 
455,"Pike Nurseries, Inc.",www.pikenursery.com,nursery garden products, $750k - 1 
457,Smith & Wesson Holding Corporation,www.smith-wesson.com,"firearms, accessories & clothing", $750k - 1 
460,Super Supplements,www.SuperSup.com,vitamin retailer, $750k - 1 
461,Tops Markets LLC,www.topsmarkets.com,grocery stores, $750k - 1 
462,"W.L. Gore & Associates, Inc.",www.gore.com,advanced technology fabrics & products, $750k - 1 
463,"Wayfair, LLC",www.wayfair.com,internet retailer, $750k - 1 
464,"Wet Seal, Inc.",www.wetsealinc.com,casual clothing stores, $750k - 1 
465,"180s, LLC",www.180s.com,performance apparel,Less than $750K
466,479 Popcorn,www.479popcorn.com,premium artisan popcorn,Less than $750K
467,"5.11, Inc.",www.511tactical.com/,safety & performance products & apparel,Less than $750K
468,80sTees.com,www.80stees.com,t-shirt manufacturer & distributor,Less than $750K
469,"A & E Stores, Inc.",www.aestores.com,clothing stores,Less than $750K
470,"Aaron Brothers, Inc.",www.aaronbrothers.com,arts & crafts retailer,Less than $750K
471,"abc distributing, LLC",www.abcdistributing.com,retail catalogs,Less than $750K
472,ABC Fine Wine & Spirits,www.abcfws.com,liquor stores,Less than $750K
474,ABRA Auto Body & Glass,www.abraauto.com,auto body shops,Less than $750K
475,"Acuity Brands, Inc.",www.acuitybrands.com,lighting & specialty products,Less than $750K
476,Adrenalina,www.adrenalinastore.com,extreme sports store,Less than $750K
477,"AeroGroup International, Inc. ",www.aerosoles.com,shoes,Less than $750K
478,Affiliated Foods Incorporated,www.afiama.com,grocery distribution cooperative,Less than $750K
480,"Ahold USA, Inc.",www.ahold.com,grocery stores,Less than $750K
482,Akoo Clothing,www.azzuredenim.com,apparel,Less than $750K
483,"Al & Ed's Autosound, LLC",www.al-eds.com,"automotive products / parts manufacturer, audio",Less than $750K
484,"ALCO Stores, Inc.",www.alcostoresinc.com,discount retail goods,Less than $750K
485,"Alex Lee, Inc.",www.alexlee.com,holding company,Less than $750K
486,"Alibris, Inc.",www.alibris.com,"used books, movies & music",Less than $750K
487,"Allegra Network, LLC",www.allegranetwork.com,copy centers,Less than $750K
488,Allstar Products Group,www.allstarmg.com,consumer products,Less than $750K
490,Alor International / CHARRIOL USA,www.charriolusa.com,jewelry,Less than $750K
492,Alpha Shirt Company,www.alphashirt.com,sportswear distributor,Less than $750K
494,"Amerex USA, Inc.",www.amerexgroup.com,outerwear,Less than $750K
495,American Achievement Corporation,www.cbi-rings.com,commemoration products,Less than $750K
497,"American Recreation Products, Inc.",www.wenzelco.com,recreational products,Less than $750K
499,Amoeba Music,www.amoebamusic.com,independent music store,Less than $750K
500,Amoena USA Corporation,www.us.amoena.com,breast surgery apparel,Less than $750K
501,"Andin International, Inc.",www.andin.com,jewelry,Less than $750K
502,"Ann & Hope, Inc.",www.curtainandbathoutlet.com,outlet stores,Less than $750K
503,"ANVIL Knitwear, Inc.",www.anvilknitwear.com,clothing manufacturer,Less than $750K
505,"Arden Group, Inc.",www.ardengroupinc.com/,grocery store holding company,Less than $750K
507,"Arizona Mail Order Company, Inc.",www.oldpueblotraders.com,"mail-order catalog, apparel",Less than $750K
509,Ashley Stewart,www.ashleystewart.com,womens clothing,Less than $750K
510,"Associated Food Stores, Inc.",www.afstores.com,wholesale supermarket stores,Less than $750K
511,Avelle,www.bagborroworsteal.com,accessories rental ,Less than $750K
512,Avenues In Leather,www.avenuesinleather.com,leather products,Less than $750K
514,"Bakers Footwear Group, Inc.",www.bakersshoes.com,women's footwear retailer,Less than $750K
516,Baroni Designs,www.baronidesigns.com/,"jewelry designer, seller",Less than $750K
518,"Bauhaus USA, Inc.",www.bauhaususa.com,furniture,Less than $750K
519,"Baume & Mercier, Inc.",www.baume-and-mercier.com,watches,Less than $750K
521,Beauty Brands Inc,www.beautybrands.com,salon & spa retail store,Less than $750K
523,"Bell & Ross, Inc.",www.bellross.com,watches,Less than $750K
525,"Bernard Chaus, Inc.",www.bernardchaus.com,clothing designer,Less than $750K
526,"Bernardo Fashions, LLC",www.bernardofashions.com,apparel,Less than $750K
527,"BFS Retail & Commercial Operations, LLC",www.bfmastercare.com,"automotive products / parts manufacturer, tires",Less than $750K
528,BI Incorporated,www.bi.com,electronic monitoring & tracking devices,Less than $750K
529,"Bi-Lo, LLC",www.bi-lo.com,grocery chain,Less than $750K
530,Bianchi International,www.bianchi-intl.com,"holsters, duty belts, & accessories",Less than $750K
531,BIDZ.com Inc.,www.bidz.com,online retailer of jewelry,Less than $750K
532,Big Dog Sportswear,www.bigdogs.com,family clothing stores,Less than $750K
533,Big Dog's Hospitality Group,www.bdhginc.com,casual dining restaurant,Less than $750K
534,"Bill Blass, Group",www.billblass.com,clothing,Less than $750K
538,BluBlocker Corporation,www.blublocker.com,eye care & optical,Less than $750K
540,"Bob's Stores, Inc.",www.bobstores.com,clothing stores,Less than $750K
542,"Bonitas International, LLC",www.bonitasinternational.com,beaded jewelry,Less than $750K
544,"Books-A-, Inc.",www.booksa.com,bookstores,Less than $750K
547,Briggs & Riley Travelware,www.briggs-riley.com,luggage,Less than $750K
548,Bristol Farms ,www.bristolfarms.com,supermarkets,Less than $750K
549,Broder Brothers Company,www.broderbros.com,sportswear distributor,Less than $750K
550,"Brookshire Brothers, LTD",www.brookshirebrothers.com,food & pharmacy stores,Less than $750K
551,Brookshire's Grocery Company,www.brookshires.com,grocery store chain,Less than $750K
552,"Bruno Magli America, Inc.",shop.brunomagli.com,footwear & accessories,Less than $750K
553,"Buff, Inc.",www.buffusa.com,multifunctional headwear,Less than $750K
554,Bulgari Corporation of America,www.bulgari.com,watches & fine jewelry,Less than $750K
555,Bullard Company,www.bullard.com,safety products,Less than $750K
556,Burton Snowboards,www.burton.com,snowboard & equipment manufacturer,Less than $750K
557,Butera Market,www.buteramarket.com,grocery store chain,Less than $750K
559,"C&K Market, Inc.",www.ckmarket.com,grocery stores,Less than $750K
560,"C.F. Martin & Co., Inc.",www.mguitar.com,musical instruments,Less than $750K
561,"Cache, Inc.",www.cache.com,women's specialty retailer,Less than $750K
562,CafePress.com,www.cafepress.com,e-commerce services,Less than $750K
563,"Camping World, Inc.",www.campingworld.com,RV & outdoor camping accessories,Less than $750K
566,Carson Pirie Scott & Company,www.carsons.com,traditional clothing stores,Less than $750K
567,Carter Lumber Company,www.carterlumber.com,lumber & home improvement retailer,Less than $750K
569,Century 21 Department Stores,www.c21stores.com,online discount retailer,Less than $750K
571,Chamilia,www.chamilia.com,personalized accessories,Less than $750K
573,"Charles David of California, Inc. ",www.charlesdavid.com,high-fashion women's shoes,Less than $750K
574,Cherokee Group,www.thecherokeegroup.com,casual clothing & accessories,Less than $750K
575,"Chicco USA, Inc.",www.chiccousa.com,baby products,Less than $750K
577,"Circle K Stores, Inc.",www.circlek.com,convenience stores,Less than $750K
578,"Circle K Stores, Inc. - Arizona Region",www.circlek.com,gas & convenience stores,Less than $750K
579,"Circle K Stores, Inc. - Florida & Gulf Region",www.circlek.com,gas & convenience stores,Less than $750K
580,"Circle K Stores, Inc. - Midwest Region",www.circlekmidwest.com,gas & convenience stores,Less than $750K
581,"Circle K Stores, Inc. - Southeast Division",www.circlek.com,gas & convenience stores,Less than $750K
582,"Circle K Stores, Inc. - West Coast Business Unit",www.circlek.com,gas & convenience stores,Less than $750K
583,"Citarella, Inc.",www.citarella.com,gourmet grocery stores,Less than $750K
587,"Coborn's, Inc.",www.cobornsinc.com,"food mart, liquor stores",Less than $750K
590,"Collectors Universe, Inc.",www.collectors.com,Personal and professional collectors' organization,Less than $750K
593,Consolidated Shoe,www.consolidatedshoe.com,shoes,Less than $750K
594,"Cost-U-Less, Inc.",www.costuless.com,warehouse stores,Less than $750K
595,"Crayola, LLC",www.crayola.com,children's art products,Less than $750K
598,Crutchfield Corporation,www.crutchfield.com,electronics retailer,Less than $750K
600,Custom Chrome,www.customchrome.com,automotive products / parts manufacturer,Less than $750K
601,"Cutter & Buck, Inc.",www.cutterbuck.com,golf sportswear,Less than $750K
603,Dakine,www.dakine.com,sporting goods,Less than $750K
604,Dan Post Company,www.danpostboots.com,footwear,Less than $750K
605,"Dan's Supreme Super Markets, Inc.",www.danssupreme.com,supermarkets,Less than $750K
606,"Danskin, Inc.",www.danskin.com,women's sportswear,Less than $750K
608,DC Shoe Co. USA,www.dcshoes.com,shoes & skateboard accessories,Less than $750K
609,"Dean & DeLuca, Inc.",www.deandeluca.com,"fine food, kitchenware, wine, coffee retailer",Less than $750K
611,"deBoulle Diamond & Jewelry, Inc.",www.deboulle.com,watches & fine jewelry,Less than $750K
617,"Demoulas Super Markets, Inc.",,supermarkets,Less than $750K
